Right Answer	Predicted Answer	Norm Right Answer	Norm Predicted Answer	speed	currentSlope	ftpSecondsSavedPerKm	currentDraftPct	currentDrafteeCount	closestDrafteeFtpSecondsSavedPerKm	pctOfRaceComplete	metersLeftToClimb	metersLeftToClimbCurrentUphill	metersLeftToDescend	metersLeftToDescentCurrentDownhill	avgSlopeCurrentUphill	avgSlopeCurrentDownhill	last30SecPctFtp	last5MinPctFtp	gapToGroupAhead	closeRateGroupAhead	gapToGroupBehind	closeRateGroupBehind	biggestLeechInGroupFtpSecondsSavedPerKm	groupSize	ridersAheadOfGroup	raceTotalLength	pctOfRaceToFinish	negAvgSlopeCurrentDownhill	negAvgSlopeCurrentUphill	instantSlope	heightDeltaInCurrentHill	heightDeltaRemaining	terminalVelocityAtFtp	deltaToTerminalVelocity	victoryMargin	victoryOrLossMargin	distance-passed-250	distanceleft-passed-250	distance-passed-500	distanceleft-passed-500	distance-passed-1000	distanceleft-passed-1000	distance-passed-1500	distanceleft-passed-1500	distance-passed-2500	distanceleft-passed-2500	distance-passed-3500	distanceleft-passed-3500	distance-passed-4500	distanceleft-passed-4500	distance-passed-5000	distanceleft-passed-5000	distance-passed-7500	distanceleft-passed-7500	distance-passed-10000	distanceleft-passed-10000	distance-passed-15000	distanceleft-passed-15000	aiRatingForDistanceCovered	aiRatingForMapLength	aiRatingForDistanceLeft	rankInGroup
1.25874996	1.27392912	0.62007385	0.62755132	8.98878765	0.02766218	0.00040020	0.00000000	0.00000000	0.00000000	0.38102135	119.35915375	33.17802048	39.63131714	0.00000000	0.02766218	0.00000000	1.20961034	0.95982754	0.00000000	0.00000000	1.18157613	0.43485898	0.00000000	1.00000000	0.00000000	9995.00000000	0.61897862	0.00000000	-0.02766218	3.88400197	33.17802048	119.35915375	7.96875000	1.02003765	1.18157613	1.18157613	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.84629077	1.00000000	0.76166171	1.00000000	0.50777447	0.82489222	0.38083085	0.61866915	0.25388724	0.41244611	1.28393948	1.10469770	1.19043815	0.00000000
1.09562504	1.02092433	0.53971678	0.50291842	11.08755493	0.00179646	0.00446396	0.46248403	0.00000000	0.00000000	0.50104392	27.23074341	0.18040897	46.53129196	0.00000000	0.00179646	0.00000000	0.99185407	0.95316958	0.00000000	0.07212409	4.05235672	0.74683982	0.00129695	2.00000000	0.00000000	10042.47656250	0.49895611	0.00000000	-0.00179646	1.00200152	0.18040897	27.23074341	11.59375000	-0.50619549	4.05235672	4.05235672	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.67089617	0.66810066	0.50317216	0.50107551	0.33544809	0.33405033	1.22939491	1.10388231	1.23019516	0.50000000
1.41437495	1.41765976	0.69673645	0.69835454	11.22346687	0.02518562	0.00686839	0.00000000	1.00000000	0.00082043	0.35556331	111.06511688	3.77595425	137.55389404	0.00000000	0.02518562	0.00000000	1.12002599	1.00271440	0.00000000	0.00000000	0.62445605	-0.01779897	0.00082043	2.00000000	0.00000000	14992.50000000	0.64443672	0.00000000	-0.02518562	2.51856208	3.77595425	111.06511688	9.59375000	1.62971652	0.62445605	0.62445605	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.71077102	1.00000000	0.53307831	0.96617174	0.35538551	0.64411449	1.21838367	1.03705788	1.11055124	0.00000000
1.12750006	1.16305840	0.55541873	0.57293516	8.76575279	0.02351857	0.00019783	0.00000000	0.00000000	0.00000000	0.77079660	44.71998215	9.40272427	0.95616925	0.00000000	0.02351857	0.00000000	1.13871598	1.01628017	0.00000000	0.00000000	10.66131020	0.12528650	0.00000000	1.00000000	0.00000000	9995.00000000	0.22920342	0.00000000	-0.02351857	2.84302425	9.40272427	44.71998215	9.18750000	-0.42174736	10.66131020	10.66131020	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.91635525	1.00000000	0.65453947	1.00000000	0.50908625	1.00000000	0.45817763	1.00000000	0.30545175	0.77041119	0.22908881	0.51360744	0.15272588	1.15043414	1.10469770	1.38976336	0.00000000
0.59375000	0.66311711	0.29248768	0.32665867	15.20772552	0.00568519	0.00562342	0.83391875	0.00000000	0.00000000	0.55994844	28.35683632	1.14186668	36.02606964	0.00000000	0.00568519	0.00000000	0.79457372	0.92388666	0.00000000	0.16767545	5.02311659	0.27962032	0.00116052	2.00000000	0.00000000	10042.47656250	0.44005159	0.00000000	-0.00568519	-1.73984015	1.14186668	28.35683632	15.31250000	-0.10477416	5.02311659	5.02311659	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.98204613	1.00000000	0.88384151	0.74976915	0.58922768	0.56232685	0.44192076	0.37488458	0.29461384	1.20828426	1.10388231	1.25451529	0.50000000
0.93750000	0.97196102	0.46182266	0.47879854	12.69791698	0.00617010	0.00903361	0.00000000	0.00000000	0.00000000	0.34933889	46.68579102	0.61963117	55.94148254	0.00000000	0.00617010	0.00000000	1.01346350	0.99615055	0.00000000	0.00000000	2.43892956	-0.18748327	0.00000000	1.00000000	0.00000000	10042.47656250	0.65066111	0.00000000	-0.00617010	-0.65790236	0.61963117	46.68579102	13.84375000	-1.14583325	2.43892956	2.43892956	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.77960616	1.00000000	0.70164549	1.00000000	0.46776369	0.87123317	0.35082275	0.65342486	0.23388185	0.43561658	1.30046618	1.10388231	1.18034196	0.00000000
1.47500002	1.42491877	0.72660100	0.70193046	11.91268349	0.01649994	0.00495323	0.00000000	1.00000000	0.00705313	0.21944287	121.27590942	2.47375321	130.99249268	0.00000000	0.01649994	0.00000000	1.13679683	0.94596267	0.00000000	0.00000000	0.60270852	0.99707717	0.00705313	2.00000000	0.00000000	14992.50000000	0.78055710	0.00000000	-0.01649994	1.64999378	2.47375321	121.27590942	10.71875000	1.19393349	0.60270852	0.60270852	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.93999922	1.00000000	0.73111051	1.00000000	0.65799946	1.00000000	0.43866631	1.00000000	0.32899973	1.00000000	0.21933316	0.78016686	1.31354666	1.03705788	1.07787812	0.00000000
0.95999998	1.00321639	0.47290641	0.49419525	12.07047939	-0.03739947	0.00460404	0.00000000	0.00000000	0.00000000	0.60809845	77.34442902	0.00000000	74.05525208	16.82134819	0.00000000	0.03739947	0.84133404	0.98939133	0.00000000	0.00000000	5.39951849	-1.80899119	0.00000000	1.00000000	0.00000000	14992.50000000	0.39190158	-0.03739947	0.00000000	1.22215486	-16.82134819	77.34442902	11.31250000	0.75797915	5.39951849	5.39951849	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.78341126	0.91169155	0.58755845	0.60779440	0.39170563	1.12064111	1.03705788	1.20004797	0.00000000
0.64812499	0.70137888	0.31927341	0.34550685	13.78356075	-0.01078281	0.00567252	0.00000000	0.00000000	0.00000000	0.55632931	25.12680244	0.00000000	34.31231308	1.08286083	0.00000000	0.01078281	0.64611977	1.01511681	0.00000000	0.00000000	3.38842487	-1.08627391	0.00000000	1.00000000	0.00000000	10042.47656250	0.44367066	-0.01078281	0.00000000	-2.59484148	-1.08286083	25.12680244	16.40625000	-2.62268877	3.38842487	3.38842487	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99012274	1.00000000	0.89111042	0.74492323	0.59407365	0.55869240	0.44555521	0.37246162	0.29703683	1.20950580	1.10388231	1.25291514	0.00000000
1.04499996	1.10993826	0.51477832	0.54676765	11.53344345	0.01959847	0.00849305	0.64222372	1.00000000	0.00097506	0.04533480	147.64489746	6.29442692	154.64871216	0.00000000	0.01959847	0.00000000	1.08036101	0.59094840	0.00000000	0.16999978	0.00000000	0.71974897	0.01024951	9.00000000	0.00000000	16058.46679688	0.95466518	0.00000000	-0.01959847	1.38555014	6.29442692	147.64489746	11.06250000	0.47094366	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.72800738	1.00000000	0.48533824	1.00000000	0.29120293	1.00000000	0.20800211	1.00000000	0.16177942	1.00000000	0.14560147	1.00000000	0.09706765	1.00000000	0.07280073	1.00000000	0.04853382	1.00000000	1.66159105	1.02601695	1.03346169	0.11111111
0.88562500	0.80106616	0.43626848	0.39461389	10.75112057	-0.03603414	0.00198564	0.00000000	0.00000000	0.00000000	0.84923929	4.22232389	0.00000000	44.31644821	14.40645123	0.00000000	0.03603414	0.82494789	0.90470845	7.55786419	-1.72176194	1.83067775	0.74564368	0.00000000	1.00000000	2.00000000	9995.00000000	0.15076073	-0.03603414	0.00000000	0.36750758	-14.40645123	4.22232389	12.46875000	-1.71762931	0.00000000	-7.55786419	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.60274136	1.00000000	0.43052953	1.00000000	0.33485630	1.00000000	0.30137068	1.00000000	0.20091379	0.84881467	0.15068534	0.56587642	0.10045689	1.13319016	1.10469770	1.48351395	0.00000000
1.10874999	1.12288761	0.54618227	0.55314660	12.65244961	0.04224311	0.00325194	0.00000000	0.00000000	0.00000000	0.19595715	140.89163208	40.70157242	121.54000092	0.00000000	0.04224311	0.00000000	0.94299477	0.91368145	0.00000000	0.00000000	1.72428513	0.05656169	0.00000000	1.00000000	0.00000000	16058.46679688	0.80404282	0.00000000	-0.04224311	0.08295407	40.70157242	140.89163208	12.84375000	-0.19130015	1.72428513	1.72428513	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.89907759	1.00000000	0.69928253	1.00000000	0.62935430	1.00000000	0.41956952	1.00000000	0.31467715	1.00000000	0.20978476	0.86077970	1.32268918	1.02601695	1.06148779	0.00000000
1.25250006	1.12067592	0.61699510	0.55205709	7.93102312	0.02504105	0.00004526	0.00000000	1.00000000	0.00812037	0.25555548	130.33837891	7.50856018	213.53805542	0.00000000	0.02504105	0.00000000	1.21796870	1.02988636	55.78718185	-3.17566180	0.00000000	0.05147476	0.00812037	2.00000000	18.00000000	14992.50000000	0.74444455	0.00000000	-0.02504105	4.80830956	7.50856018	130.33837891	7.03125000	0.89977294	0.00000000	-55.78718185	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.85142565	1.00000000	0.76628309	1.00000000	0.51085538	1.00000000	0.38314155	1.00000000	0.25542769	0.74407232	1.28272974	1.03705788	1.08586407	0.00000000
1.02562499	1.05982864	0.50523400	0.52208310	8.71030807	0.01003277	0.00000513	0.00000000	1.00000000	0.00353492	0.03496373	177.67936707	4.51248884	251.66893005	0.00000000	0.01003277	0.00000000	1.07216144	0.36430752	94.23757172	-4.89092636	0.00000000	-0.01250067	0.00353492	2.00000000	19.00000000	14992.50000000	0.96503627	0.00000000	-0.01003277	2.52705431	4.51248884	177.67936707	9.59375000	-0.88344163	0.00000000	-94.23757172	1.00000000	1.00000000	1.00000000	1.00000000	0.52419370	1.00000000	0.34946248	1.00000000	0.20967749	1.00000000	0.14976963	1.00000000	0.11648750	1.00000000	0.10483874	1.00000000	0.06989250	1.00000000	0.05241937	1.00000000	0.03494625	0.96455377	1.74884975	1.03705788	1.04282534	0.00000000
